Date,Rate_BRL,Rate_CHI,Gold,Rate_COP
1994-10-28,0.849,410.25,388.0,840.05
1994-10-31,0.845,411.15,384.5,837.0
1994-11-01,0.8435,411.15,384.6,837.62
1994-11-02,0.8435,411.15,384.5,837.79
1994-11-03,0.845,409.58,384.0,834.8
1994-11-04,0.844,411.06,383.9,833.19
1994-11-07,0.838,411.96,383.0,830.5
1994-11-08,0.833,410.97,384.1,830.5
1994-11-09,0.83,410.62,384.0,829.09
1994-11-10,0.834,411.96,385.4,829.5
1994-11-11,0.835,416.0,385.5,829.5
1994-11-14,0.8365,412.21,385.1,825.17
1994-11-15,0.833,413.8,387.1,825.87
1994-11-16,0.832,413.79,386.5,826.45
1994-11-17,0.832,414.92,386.5,828.8
1994-11-18,0.835,414.27,384.7,830.49
1994-11-21,0.835,415.14,383.8,827.5
1994-11-22,0.835,415.68,384.15,828.5
1994-11-23,0.843,414.84,385.3,830.74
1994-11-24,0.854,417.0,384.8,828.67
1994-11-25,0.858,415.45,385.2,828.5
1994-11-28,0.856,415.75,383.1,828.5
1994-11-29,0.852,416.61,383.0,828.0
1994-11-30,0.846,403.99,381.4,829.0
1994-12-01,0.847,403.99,380.25,828.5
1994-12-02,0.856,400.65,376.5,829.29
1994-12-05,0.8485,399.68,376.5,830.0
1994-12-06,0.845,404.4,376.5,830.37
1994-12-07,0.845,397.99,376.8,830.5
1994-12-08,0.846,398.38,377.4,830.5
1994-12-09,0.845,398.38,378.0,831.1
1994-12-12,0.843,399.05,377.75,830.75
1994-12-13,0.842,399.69,378.75,831.91
1994-12-14,0.846,401.89,379.3,824.68
1994-12-15,0.85,404.76,380.0,825.0
1994-12-16,0.848,402.57,379.2,827.6
1994-12-19,0.8475,403.85,380.1,829.3
1994-12-20,0.849,403.88,382.35,829.2
1994-12-21,0.852,402.96,381.9,828.5
1994-12-22,0.859,401.89,381.4,826.5
1994-12-23,0.853,402.65,380.8,827.3
1994-12-26,0.849,404.19,381.5,827.3
1994-12-27,0.851,404.87,381.5,828.0
1994-12-28,0.855,405.46,383.75,829.95
1994-12-29,0.847,406.47,382.9,830.0
1994-12-30,0.846,402.92,383.2,831.2
1995-01-02,0.844,402.92,383.0,831.27
1995-01-03,0.845,401.69,379.85,833.18
1995-01-04,0.845,403.81,374.3,835.38
1995-01-05,0.843,403.27,374.75,838.33
1995-01-06,0.84,404.4,371.5,838.87
1995-01-09,0.844,406.03,373.5,836.5
1995-01-10,0.847,405.0,374.8,837.07
1995-01-11,0.851,404.73,376.0,840.36
1995-01-12,0.845,407.48,381.25,843.69
1995-01-13,0.847,407.48,378.95,841.52
1995-01-16,0.847,403.0,377.75,843.7
1995-01-17,0.846,404.95,380.6,846.61
1995-01-18,0.846,405.06,382.4,847.61
1995-01-19,0.848,405.65,383.75,850.26
1995-01-20,0.848,406.15,384.2,852.68
1995-01-23,0.85,407.78,381.5,855.54
1995-01-24,0.851,408.91,381.75,855.49
1995-01-25,0.851,407.43,381.1,856.65
1995-01-26,0.845,406.65,381.5,857.56
1995-01-27,0.844,407.03,378.25,859.3
1995-01-30,0.846,408.19,377.0,857.83
1995-01-31,0.841,410.79,375.1,856.41
1995-02-01,0.842,410.79,376.2,857.16
1995-02-02,0.839,407.47,376.25,855.0
1995-02-03,0.839,409.06,376.3,852.22
1995-02-06,0.836,409.41,375.9,852.0
1995-02-07,0.836,410.19,374.8,848.27
1995-02-08,0.835,410.47,376.0,848.43
1995-02-09,0.833,409.48,376.5,847.04
1995-02-10,0.834,409.56,376.3,845.73
1995-02-13,0.832,411.5,375.6,845.37
1995-02-14,0.834,411.43,376.3,846.2
1995-02-15,0.836,412.24,376.5,848.15
1995-02-16,0.844,413.31,377.15,848.52
1995-02-17,0.85,416.77,379.0,848.9
1995-02-20,0.841,418.45,379.7,849.41
1995-02-21,0.842,418.98,378.7,851.88
1995-02-22,0.847,416.17,379.55,853.63
1995-02-23,0.844,414.08,379.15,853.63
1995-02-24,0.85,411.29,376.6,855.48
1995-02-27,0.85,411.41,376.5,855.48
1995-02-28,0.85,410.49,377.1,856.99
1995-03-01,0.85,410.49,374.9,857.85
1995-03-02,0.852,409.91,376.9,858.87
1995-03-03,0.857,411.94,376.8,861.33
1995-03-06,0.867,416.75,379.2,859.65
1995-03-07,0.874,414.35,384.4,858.95
1995-03-08,0.887,416.19,379.9,861.13
1995-03-09,0.887,415.84,382.0,862.41
1995-03-10,0.879,415.41,382.3,863.06
1995-03-13,0.88,411.89,385.75,865.36
1995-03-14,0.8805,408.89,385.8,865.92
1995-03-15,0.8895,407.85,386.3,865.92
1995-03-16,0.892,410.98,384.1,866.4
1995-03-17,0.889,410.78,383.7,865.63
1995-03-20,0.9015,409.24,383.1,866.4
1995-03-21,0.9,409.11,383.5,863.77
1995-03-22,0.907,408.04,383.1,865.89
1995-03-23,0.907,407.65,383.75,867.81
1995-03-24,0.908,408.16,382.3,868.95
1995-03-27,0.909,409.17,382.1,869.22
1995-03-28,0.907,408.2,382.3,870.14
1995-03-29,0.908,407.76,382.4,872.57
1995-03-30,0.902,406.7,386.4,876.21
1995-03-31,0.895,405.22,391.4,880.23
