Fecha sistema,Fecha (Mes año),Índice ,Variación mensual (%),Variación anual (%),Variación año corrido (%),Orden_División,División del gasto
24/04/2026 08:50:06,1974-02-28 00:00:00,0.205256256011251,2.54,26.91,5.46,30,Total
24/04/2026 08:50:06,1974-03-31 00:00:00,0.212001714340366,3.29,26.7,8.93,30,Total
24/04/2026 08:50:06,1974-04-30 00:00:00,0.217758108673997,2.72,25.73,11.89,30,Total
24/04/2026 08:50:06,1974-05-31 00:00:00,0.220339307442733,1.19,23.53,13.21,30,Total
24/04/2026 08:50:06,1974-06-30 00:00:00,0.222638514782975,1.04,22.45,14.39,30,Total
24/04/2026 08:50:06,1974-07-31 00:00:00,0.224754148495262,0.95,21.2,15.48,30,Total
24/04/2026 08:50:06,1974-08-31 00:00:00,0.225429811125911,0.3,22.06,15.83,30,Total
24/04/2026 08:50:06,1974-09-30 00:00:00,0.228916314059885,1.55,22.26,17.62,30,Total
24/04/2026 08:50:06,1974-10-31 00:00:00,0.238538224559351,4.2,26.7,22.56,30,Total
24/04/2026 08:50:06,1974-11-30 00:00:00,0.241259721043749,1.14,25.42,23.96,30,Total
24/04/2026 08:50:06,1974-12-31 00:00:00,0.245909089620966,1.93,26.35,26.35,30,Total
24/04/2026 08:50:06,1975-01-31 00:00:00,0.252954687341794,2.86,26.36,2.86,30,Total
24/04/2026 08:50:06,1975-02-28 00:00:00,0.257168504801735,1.67,25.29,4.58,30,Total
24/04/2026 08:50:06,1975-03-31 00:00:00,0.264225968498514,2.74,24.63,7.45,30,Total
24/04/2026 08:50:06,1975-04-30 00:00:00,0.270860445052553,2.51,24.39,10.15,30,Total
24/04/2026 08:50:06,1975-05-31 00:00:00,0.275816235008753,1.83,25.18,12.16,30,Total
24/04/2026 08:50:06,1975-06-30 00:00:00,0.277848108890795,0.74,24.8,12.99,30,Total
24/04/2026 08:50:06,1975-07-31 00:00:00,0.279504459533902,0.6,24.36,13.66,30,Total
24/04/2026 08:50:06,1975-08-31 00:00:00,0.279507949526829,0,23.99,13.66,30,Total
24/04/2026 08:50:06,1975-09-30 00:00:00,0.283286913868078,1.35,23.75,15.2,30,Total
24/04/2026 08:50:06,1975-10-31 00:00:00,0.286041914284573,0.97,19.91,16.32,30,Total
24/04/2026 08:50:06,1975-11-30 00:00:00,0.287709432905047,0.58,19.25,17,30,Total
24/04/2026 08:50:06,1975-12-31 00:00:00,0.289611479050208,0.66,17.77,17.77,30,Total
24/04/2026 08:50:06,1976-01-31 00:00:00,0.296241767612735,2.29,17.11,2.29,30,Total
24/04/2026 08:50:06,1976-02-29 00:00:00,0.303088435736729,2.31,17.86,4.65,30,Total
24/04/2026 08:50:06,1976-03-31 00:00:00,0.309472330798617,2.11,17.12,6.86,30,Total
24/04/2026 08:50:06,1976-04-30 00:00:00,0.315138683314733,1.83,16.35,8.81,30,Total
24/04/2026 08:50:06,1976-05-31 00:00:00,0.319086563313644,1.25,15.69,10.18,30,Total
24/04/2026 08:50:06,1976-06-30 00:00:00,0.327110755051175,2.51,17.73,12.95,30,Total
24/04/2026 08:50:06,1976-07-31 00:00:00,0.335633317778668,2.61,20.08,15.89,30,Total
24/04/2026 08:50:06,1976-08-31 00:00:00,0.340489991935743,1.45,21.82,17.57,30,Total
24/04/2026 08:50:06,1976-09-30 00:00:00,0.346362254034547,1.72,22.27,19.6,30,Total
24/04/2026 08:50:06,1976-10-31 00:00:00,0.351952524704857,1.61,23.04,21.53,30,Total
