Date,Dif Rates,Rate_COP
2020-03-26,-3.895,3990.35
2020-03-27,-3.77,4037.79
2020-03-30,-3.5900000000000003,4060.75
2020-03-31,-3.5450000000000004,4055.75
2020-04-01,-3.523,4063.5
2020-04-02,-3.5900000000000003,4049.5
2020-04-03,-3.583,4015.0
2020-04-06,-3.49,3978.85
2020-04-07,-3.451,3910.77
2020-04-08,-3.455,3895.2
2020-04-13,-3.388,3871.75
2020-04-14,-3.42,3854.08
2020-04-15,-3.49,3892.78
2020-04-16,-3.5330000000000004,3931.11
2020-04-17,-3.5610000000000004,3940.98
2020-04-20,-3.57,3977.8
2020-04-21,-3.595,4047.6
2020-04-22,-3.6,4032.16
2020-04-23,-3.5930000000000004,4022.77
2020-04-24,-3.56,4043.2
2020-04-27,-3.5300000000000002,4060.55
2020-04-28,-3.552,4042.31
2020-04-29,-3.5850000000000004,3924.3
2020-04-30,-3.585,3942.86
2020-05-04,-3.103,3988.38
2020-05-05,-3.105,3933.23
2020-05-06,-3.108,3965.09
2020-05-07,-3.115,3924.38
2020-05-08,-3.096,3893.9
2020-05-11,-3.09,3898.13
2020-05-12,-3.063,3881.85
2020-05-13,-3.075,3912.86
2020-05-14,-3.113,3942.82
2020-05-15,-3.0780000000000003,3914.45
2020-05-18,-3.083,3852.52
2020-05-19,-3.093,3834.55
2020-05-20,-3.1180000000000003,3814.7
2020-05-21,-3.09,3769.55
2020-05-22,-3.057,3780.68
2020-05-26,-3.009,3727.77
2020-05-27,-3.053,3733.65
2020-05-28,-3.065,3699.4
2020-05-29,-3.093,3732.0
2020-06-01,-2.6189999999999998,3718.97
2020-06-02,-2.611,3636.63
2020-06-03,-2.629,3606.95
2020-06-04,-2.623,3590.75
2020-06-05,-2.604,3575.13
2020-06-08,-2.5980000000000003,3607.38
2020-06-09,-2.585,3657.38
2020-06-10,-2.593,3673.38
2020-06-11,-2.5749999999999997,3774.11
2020-06-12,-2.5909999999999997,3779.15
2020-06-16,-2.5700000000000003,3749.55
2020-06-17,-2.568,3748.91
2020-06-18,-2.579,3753.15
2020-06-19,-2.591,3740.7
2020-06-23,-2.612,3699.63
2020-06-24,-2.5989999999999998,3727.45
2020-06-25,-2.589,3731.52
2020-06-26,-2.601,3750.17
2020-06-30,-2.589,3757.75
2020-07-01,-2.325,3715.55
2020-07-02,-2.326,3642.8
2020-07-03,-2.319,3651.68
2020-07-06,-2.328,3637.19
2020-07-07,-2.318,3625.61
2020-07-08,-2.32,3641.33
2020-07-09,-2.324,3622.75
2020-07-10,-2.3249999999999997,3621.61
2020-07-13,-2.3289999999999997,3620.45
2020-07-14,-2.323,3623.05
2020-07-15,-2.305,3623.2
2020-07-16,-2.308,3643.07
2020-07-17,-2.3049999999999997,3650.9
2020-07-21,-2.315,3623.19
2020-07-22,-2.335,3638.07
2020-07-23,-2.33,3668.45
2020-07-24,-2.322,3693.28
2020-07-27,-2.3129999999999997,3677.7
2020-07-28,-2.311,3724.9
2020-07-29,-2.321,3705.97
2020-07-30,-2.302,3723.53
2020-07-31,-2.294,3732.83
2020-08-03,-2.077,3768.9
2020-08-04,-2.0660000000000003,3780.49
2020-08-05,-2.075,3776.23
2020-08-06,-2.076,3741.5
2020-08-07,-2.076,3772.64
2020-08-10,-2.075,3774.4
2020-08-11,-2.065,3741.4
2020-08-12,-2.075,3758.25
2020-08-13,-2.0740000000000003,3771.45
2020-08-14,-2.071,3792.27
2020-08-18,-2.0700000000000003,3782.8
2020-08-19,-2.071,3758.04
2020-08-20,-2.0900000000000003,3803.35
2020-08-21,-2.0900000000000003,3837.7
2020-08-24,-2.0909999999999997,3855.84
2020-08-25,-2.092,3868.18
2020-08-26,-2.101,3835.95
2020-08-27,-2.101,3815.68
2020-08-28,-2.0980000000000003,3745.28
2020-08-31,-2.0820000000000003,3741.1
2020-09-01,-1.845,3678.55
2020-09-02,-1.8499999999999999,3655.3
2020-09-03,-1.843,3693.1
2020-09-04,-1.861,3715.38
2020-09-08,-1.863,3738.2
2020-09-09,-1.857,3715.93
2020-09-10,-1.849,3708.36
2020-09-11,-1.843,3708.25
2020-09-14,-1.8379999999999999,3698.02
2020-09-15,-1.841,3700.7
2020-09-16,-1.8439999999999999,3686.93
2020-09-17,-1.8459999999999999,3715.94
2020-09-18,-1.8599999999999999,3736.96
2020-09-21,-1.8699999999999999,3790.18
2020-09-22,-1.882,3828.88
